Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0010895,Res,2795,,HEIDELBERG,DR,,BOULDER,2-3 Story,Good,1990,"2,246",896,552,344,Attached,528,"6,919",3935037,No,2021-12-14 00:00:00,"$1,696,000","$1,808,300",106,39.97191708545921,-105.25829342600449
R0010830,Res,2890,,HEIDELBERG,DR,,BOULDER,Split-Level,Average,1973,"1,684",676,676,0,Attached,460,"7,884",3902636,No,2021-07-07 00:00:00,"$1,300,000","$1,500,100",106,39.97162945,-105.25729834142226
R0011340,Res,3115,,HEIDELBERG,DR,,BOULDER,Split-Level,Average,2005,"1,692",572,572,0,Attached,460,"7,090",3915231,No,2021-09-03 00:00:00,"$1,525,000","$1,706,200",106,39.9721001,-105.2553032024661
R0009631,Res,3295,,HEIDELBERG,DR,,BOULDER,2-3 Story,Average,1990,"2,246",896,616,280,Attached,528,"7,217",3914222,No,2021-09-13 00:00:00,"$1,500,000","$1,678,200",106,39.9727682,-105.25449292361112
R0012416,Res,3316,,HEIDELBERG,DR,,BOULDER,Split-Level,Average,2000,"1,452",480,480,0,Attached,576,"10,437",3749281,No,2019-11-15 00:00:00,"$951,000","$1,392,500",106,39.9727569,-105.25376773484165
R0012416,Res,3316,,HEIDELBERG,DR,,BOULDER,Split-Level,Average,2000,"1,452",480,480,0,Attached,576,"10,437",3729660,No,2019-08-12 00:00:00,"$951,000","$1,392,500",106,39.9727569,-105.25376773484165
R0011913,Res,3415,,HEIDELBERG,DR,,BOULDER,Bi-Level,Average,1995,"1,688",0,0,0,Attached,540,"6,926",3877260,No,2021-04-14 00:00:00,"$910,000","$1,098,000",106,39.9732091,-105.2529665746278
R0011916,Res,3495,,HEIDELBERG,DR,,BOULDER,Bi-Level,Good,2005,"2,264",0,0,0,Attached,480,"8,533",3854030,No,2021-01-26 00:00:00,"$1,250,000","$1,577,100",106,39.97302365,-105.25197748008702
R0011590,Res,2235,,HILLSDALE,CIR,,BOULDER,Ranch,Good,2010,"1,524","1,422","1,422",0,Attached,456,"14,198",3887187,No,2021-05-20 00:00:00,"$2,225,000","$2,645,100",106,39.98328145,-105.26337145531356
R0011299,Res,2295,,HILLSDALE,CIR,,BOULDER,Bi-Level,Average,1976,"1,800",0,0,0,Attached,576,"7,635",3889214,No,2021-05-27 00:00:00,"$1,001,000","$1,190,000",106,39.9822776,-105.263506
R0011040,Res,2320,,HILLSDALE,WAY,,BOULDER,Ranch,Average,2003,"1,260","1,260","1,134",126,Attached,560,"7,978",3887430,No,2021-05-21 00:00:00,"$1,610,000","$1,914,000",106,39.9818291,-105.26418761929406
R0014258,Res,2365,,HILLSDALE,WAY,,BOULDER,Bi-Level,Average,2005,"2,276",0,0,0,Attached,480,"8,271",3791868,No,2020-06-17 00:00:00,"$1,310,000","$1,834,400",106,39.98153565,-105.26537117299246
R0004601,Res,305,,HOLLYBERRY,LN,,BOULDER,2-3 Story,Excellent,2006,"3,855",954,954,0,Attached,722,"10,459",3955075,No,2022-03-28 00:00:00,"$6,750,000","$6,859,400",106,39.98874535,-105.2723039933452
R0003931,Res,342,,HOLLYBERRY,LN,,BOULDER,Split-Level,Good,2005,"3,691",57,0,57,Detached,420,"12,310",3826248,No,2020-10-21 00:00:00,"$2,037,500","$2,688,100",106,39.98799725,-105.2708662537172
R0007402,Res,354,,HOLLYBERRY,LN,,BOULDER,2-3 Story,Very Good,1995,"3,124",0,0,0,Attached,440,"9,931",3856816,No,2021-02-05 00:00:00,"$1,750,000","$2,175,400",106,39.98768795,-105.2707976924262
R0004318,Res,390,,HOLLYBERRY,LN,,BOULDER,2-3 Story,Good,1973,"1,668",516,0,516,Multiple,400,"17,832",3781379,No,2020-04-28 00:00:00,"$1,200,000","$1,731,100",106,39.98689745,-105.27137790546256
R0010455,Res,2203,,HOLYOKE,DR,,BOULDER,Split-Level,Good,1985,"1,893",624,0,624,Attached,570,"29,285",3725711,No,2019-07-05 00:00:00,"$1,600,000","$2,342,900",106,39.98023635,-105.26650585225244
R0010356,Res,2232,,HOLYOKE,DR,,BOULDER,Ranch,Good,2010,"1,541","1,541","1,241",300,Attached,483,"11,319",3776127,No,2020-04-01 00:00:00,"$1,350,000","$1,933,100",106,39.97881345,-105.26588615155836
R0009568,Res,2287,,HOLYOKE,DR,,BOULDER,Bi-Level,Good,1980,"2,240",0,0,0,Attached,504,"13,964",3946810,No,2022-01-31 00:00:00,"$1,535,000","$1,584,400",106,39.979713,-105.2653277251542
R0014226,Res,2220,,HOWARD,PL,,BOULDER,Ranch,Very Good,2005,"1,754","1,204","1,204",0,Attached,552,"11,501",3891689,No,2021-06-08 00:00:00,"$2,230,000","$2,611,800",106,39.98049485,-105.26595140939936
R0013838,Res,2620,,ILIFF,ST,,BOULDER,2-3 Story,Average,2010,"1,840","1,060",432,628,Attached,420,"10,576",3911348,No,2021-08-31 00:00:00,"$2,795,000","$3,177,400",106,39.97069475,-105.25930723892128
R0012835,Res,2645,,ILIFF,ST,,BOULDER,Ranch,Average,1978,"1,596","1,596","1,480",116,Attached,504,"7,379",3880420,No,2021-04-23 00:00:00,"$1,105,000","$1,333,300",106,39.9712495,-105.25918565520644
R0012938,Res,2655,,ILIFF,ST,,BOULDER,Split-Level,Good,1990,"2,626",0,0,0,Multiple,942,"7,539",3753985,No,2019-12-06 00:00:00,"$1,250,000","$1,830,400",106,39.9712923,-105.25889864617182
R0012867,Res,2705,,ILIFF,ST,,BOULDER,Split-Level,Good,1982,"2,429",582,430,152,Attached,460,"7,633",3733518,No,2019-08-28 00:00:00,"$1,070,000","$1,566,800",106,39.97131775,-105.25819729552416
R0012867,Res,2705,,ILIFF,ST,,BOULDER,Split-Level,Good,1995,"2,429",582,430,152,Attached,460,"7,633",3912853,No,2021-08-13 00:00:00,"$1,365,000","$1,551,700",106,39.97131775,-105.25819729552416
R0014289,Res,560,,ITHACA,DR,,BOULDER,Bi-Level,Average,1995,"2,212",0,0,0,Attached,480,"6,934",3795292,No,2020-06-30 00:00:00,"$1,187,200","$1,662,400",106,39.9799498,-105.26400123445173
R0010584,Res,645,,ITHACA,DR,,BOULDER,2-3 Story,Average,1979,"1,758",0,0,0,Attached,552,"8,042",3915643,No,2021-09-17 00:00:00,"$1,020,000","$1,141,200",106,39.98130140000001,-105.26436099999998
R0013152,Res,798,,ITHACA,DR,,BOULDER,Ranch,Average,1965,"1,234","1,234",0,"1,234",Attached,420,"17,740",3806456,No,2020-08-12 00:00:00,"$837,000","$1,137,700",106,39.9825747,-105.26005758955144
R0011611,Res,897,,ITHACA,DR,,BOULDER,2-3 Story,Good,1995,"2,074",0,0,0,Attached,324,"7,137",3735308,No,2019-09-09 00:00:00,"$835,000","$1,222,700",106,39.98097455,-105.25753091046364
R0010543,Res,960,,ITHACA,DR,,BOULDER,Bi-Level,Average,2005,"1,872",0,0,0,Attached,355,"7,350",3786520,No,2020-05-26 00:00:00,"$1,000,000","$1,421,300",106,39.98016815,-105.25675033921216
R0013509,Dup/Tri,1040,,ITHACA,DR,,BOULDER,Ranch,Average,1990,"1,073","1,073","1,073",0,Attached,348,"7,096",3903192,No,2021-07-28 00:00:00,"$1,240,000","$1,430,800",106,39.9794713,-105.25650581126028
R0009906,Res,1240,,ITHACA,DR,,BOULDER,Ranch,Average,1995,"1,336","1,120",710,410,Attached,288,"6,985",3950635,No,2022-03-14 00:00:00,"$1,400,000","$1,422,700",106,39.9770949,-105.25629512359272
R0011450,Res,1455,,ITHACA,DR,,BOULDER,Split-Level,Average,1980,"1,426",0,0,0,Attached,253,"6,821",3727587,No,2019-07-31 00:00:00,"$770,000","$1,127,500",106,39.9741279,-105.25679635
R0011765,Res,1545,,ITHACA,DR,,BOULDER,Bi-Level,Average,1968,"1,810",0,0,0,Attached,288,"6,804",3934788,No,2021-12-10 00:00:00,"$1,000,100","$1,066,300",106,39.9726779,-105.256804625
R0011087,Res,1730,,ITHACA,DR,,BOULDER,2-3 Story,Good,1970,"2,324",825,0,825,Attached,468,"10,958",3808295,No,2020-08-18 00:00:00,"$1,106,000","$1,503,300",106,39.97084365,-105.25633642843404
R0011410,Res,1320,,JUDSON,DR,,BOULDER,Split-Level,Good,2000,"2,390",0,0,0,Attached,288,"7,198",3777665,No,2020-04-10 00:00:00,"$1,150,000","$1,659,000",106,39.9762849,-105.25723035
R0011225,Res,1380,,JUDSON,DR,,BOULDER,2-3 Story,Average,2000,"1,620",864,864,0,Attached,484,"6,914",3968579,No,2022-06-23 00:00:00,"$1,435,000","$1,430,500",106,39.975453,-105.2571694
R0014609,Res,1410,,JUDSON,DR,,BOULDER,Bi-Level,Average,1990,"2,164",0,0,0,Attached,504,"8,345",3967727,No,2022-06-16 00:00:00,"$1,499,000","$1,490,000",106,39.97491695,-105.25722078951614
R0012528,Res,1420,,JUDSON,DR,,BOULDER,Ranch,Average,1980,"1,008",0,0,0,Attached,286,"6,970",3802462,No,2020-07-28 00:00:00,"$749,000","$1,033,300",106,39.97474845,-105.25721507280656
R0012065,Res,1450,,JUDSON,DR,,BOULDER,Ranch,Average,1985,"1,008",0,0,0,Attached,312,"7,398",3802482,No,2020-07-24 00:00:00,"$715,000","$986,400",106,39.97394935,-105.25721782862384
R0011932,Res,1460,,JUDSON,DR,,BOULDER,Ranch,Average,1980,900,900,900,0,Attached,418,"7,969",3742390,No,2019-10-11 00:00:00,"$810,000","$1,186,100",106,39.9737451,-105.25728478599784
R0010647,Res,1510,,JUDSON,DR,,BOULDER,Ranch,Average,1967,"1,422","1,422","1,080",342,Attached,456,"6,918",3969084,No,2022-06-24 00:00:00,"$1,330,000","$1,330,000",106,39.9731205,-105.2580102837444
R0010582,Res,1535,,JUDSON,DR,,BOULDER,Bi-Level,Average,1983,"2,224",0,0,0,Attached,480,"10,341",3781338,No,2020-04-28 00:00:00,"$980,000","$1,413,700",106,39.972536,-105.25842518198178
R0010235,Res,1555,,JUDSON,DR,,BOULDER,Ranch,Average,2005,"1,329",0,0,0,Attached,220,"7,355",3856839,No,2021-02-05 00:00:00,"$1,050,000","$1,305,300",106,39.9723517,-105.25798701270833
R0009518,Res,1565,,JUDSON,DR,,BOULDER,Bi-Level,Average,1972,"1,800",0,0,0,Attached,576,"7,749",3904017,No,2021-07-30 00:00:00,"$1,076,000","$1,241,600",106,39.97237105,-105.25772115
R0013515,Res,1581,,JUDSON,DR,,BOULDER,Bi-Level,Average,1985,"2,224",0,0,0,Attached,480,"7,710",3815745,No,2020-08-27 00:00:00,"$995,000","$1,345,600",106,39.97276215,-105.2572192646346
R0013515,Res,1581,,JUDSON,DR,,BOULDER,Bi-Level,Average,1975,"2,224",0,0,0,Attached,480,"7,710",3815745,No,2020-08-27 00:00:00,"$995,000","$1,345,600",106,39.97276215,-105.2572192646346
R0010388,Res,2650,,JUILLIARD,ST,,BOULDER,2-3 Story,Very Good,1998,"2,949",0,0,0,Attached,480,"13,458",3971754,No,2022-07-13 00:00:00,"$2,550,000","$2,548,000",106,39.96947935,-105.25907215039533
R0010841,Res,2665,,JUILLIARD,ST,,BOULDER,Ranch,Good,1990,"1,514","1,419","1,119",300,Attached,441,"8,332",3968368,No,2022-06-22 00:00:00,"$1,277,000","$1,277,000",106,39.96998795,-105.25895246488145
R0014345,Res,2695,,JUILLIARD,ST,,BOULDER,Ranch,Very Good,1996,"1,221","1,420","1,420",0,Attached,436,"8,278",3929033,No,2021-11-15 00:00:00,"$1,910,000","$2,069,500",106,39.9700386,-105.25841678594628
R0014104,Res,2730,,JUILLIARD,ST,,BOULDER,Ranch,Good,2000,"1,471","1,011","1,011",0,Attached,460,"13,463",3885654,No,2021-05-12 00:00:00,"$2,050,000","$2,437,000",106,39.96964915,-105.25786218843908
R0010282,Res,2750,,JUILLIARD,ST,,BOULDER,Ranch,Average,2009,"1,196",650,450,200,Attached,500,"16,700",3722986,No,2019-07-02 00:00:00,"$1,100,000","$1,610,700",106,39.9697966,-105.25722586240876
R0010282,Res,2750,,JUILLIARD,ST,,BOULDER,Ranch,Average,2009,"1,196",650,450,200,Attached,500,"16,700",3975895,No,2022-07-21 00:00:00,"$1,670,000","$1,670,000",106,39.9697966,-105.25722586240876
R0009698,Res,2755,,JUILLIARD,ST,,BOULDER,2-3 Story,Very Good,2008,"2,719",988,988,0,Attached,704,"8,580",3880946,No,2021-04-26 00:00:00,"$2,187,500","$2,639,400",106,39.97020565,-105.25738952165192
R0009710,Res,2860,,JUILLIARD,ST,,BOULDER,2-3 Story,Good,2004,"3,857",0,0,0,Attached,"1,350","20,030",3881857,No,2021-04-29 00:00:00,"$3,325,000","$4,011,900",106,39.96975895,-105.25532674870922
R0075592,Res,2870,,JUILLIARD,ST,,BOULDER,2-3 Story,Good,1990,"1,913","1,495","1,345",150,Attached,660,"20,229",3804116,No,2020-07-21 00:00:00,"$1,428,900","$1,971,300",106,39.9701208,-105.25509197896884
R0011298,Res,2875,,JUILLIARD,ST,,BOULDER,Ranch,Good,1998,"1,720","1,446","1,248",198,Attached,429,"7,959",3954078,No,2022-03-30 00:00:00,"$1,850,000","$1,880,000",106,39.970569,-105.254857525
R0011298,Res,2875,,JUILLIARD,ST,,BOULDER,Ranch,Good,1998,"1,720","1,446","1,248",198,Attached,429,"7,959",3774056,No,2020-03-25 00:00:00,"$1,375,000","$2,013,400",106,39.970569,-105.254857525
R0009998,Res,2880,,JUILLIARD,ST,,BOULDER,2-3 Story,Very Good,1995,"4,455",186,186,0,Attached,707,"23,656",3863336,No,2021-02-23 00:00:00,"$2,255,500","$2,798,200",106,39.970046100000005,-105.25470485882352
R0012966,Res,2945,,JUILLIARD,ST,,BOULDER,2-3 Story,Good,2000,"3,606","1,106","1,106",0,Multiple,"1,223","20,764",3739026,No,2019-09-18 00:00:00,"$1,900,000","$2,782,200",106,39.97122375,-105.25390810515172
R0013681,Res,1421,,KENDALL,DR,,BOULDER,Ranch,Average,1976,"1,080","1,080",980,100,Attached,324,"6,929",3961021,No,2022-05-06 00:00:00,"$1,010,000","$1,010,000",106,39.97458755,-105.2581872
R0013057,Res,1455,,KENDALL,DR,,BOULDER,Ranch,Average,2005,"1,300","1,274","1,274",0,Attached,440,"9,426",3747109,No,2019-11-04 00:00:00,"$1,200,000","$1,757,200",106,39.974368850000005,-105.259345024795
R0014575,Res,1465,,KENDALL,DR,,BOULDER,Bi-Level,Average,1968,"1,800",0,0,0,Attached,576,"6,872",3969772,No,2022-06-17 00:00:00,"$973,000","$973,000",106,39.97414345,-105.259383325
R0010910,Res,1585,,KENDALL,DR,,BOULDER,Bi-Level,Average,2003,"2,436",76,0,76,Multiple,780,"7,167",3890690,No,2021-06-04 00:00:00,"$2,000,000","$2,342,400",106,39.97226175,-105.25940175
R0008485,Res,2345,,KENWOOD,DR,,BOULDER,Ranch,Good,1970,"2,259",0,0,0,,0,"12,456",3895756,No,2021-04-01 00:00:00,"$1,400,000","$1,641,000",106,39.98781705,-105.26426955354869
R0005512,Res,2365,,KENWOOD,DR,,BOULDER,Split-Level,Good,1960,"1,876",0,0,0,Attached,300,"11,281",3903534,No,2021-07-29 00:00:00,"$1,170,000","$1,350,100",106,39.98796445,-105.2640255014629
R0007327,Res,2440,,KENWOOD,DR,,BOULDER,Ranch,Average,1963,"1,510",700,400,300,Detached,625,"16,798",3913386,No,2021-09-10 00:00:00,"$1,250,000","$1,376,100",106,39.988126050000005,-105.2625875159472
R0002848,Res,2530,,KENWOOD,DR,,BOULDER,2-3 Story,Good,1994,"2,133",0,0,0,Attached,567,"29,545",3931256,No,2021-11-19 00:00:00,"$1,525,000","$1,652,300",106,39.98816615,-105.26115965018576
R0008820,Res,2535,,KENWOOD,DR,,BOULDER,Ranch,Average,1990,"1,362","1,362","1,362",0,Attached,372,"9,743",3966285,No,2022-06-01 00:00:00,"$1,200,000","$1,200,000",106,39.9885449,-105.26128235
R0011371,Res,2813,,KENYON,CIR,,BOULDER,2-3 Story,Good,2005,"1,823","1,247","1,247",0,Attached,440,"6,995",3729958,No,2019-08-12 00:00:00,"$1,512,500","$2,214,800",106,39.9767655,-105.25811792970086
R0012119,Res,2881,,KENYON,CIR,,BOULDER,Split-Level,Average,1966,"1,426",575,0,575,Attached,253,"7,044",3898385,No,2021-06-29 00:00:00,"$810,000","$948,700",106,39.9756589,-105.25814125209212
R0014121,Res,2885,,KENYON,CIR,,BOULDER,Bi-Level,Average,1990,"2,004",0,0,0,Attached,288,"7,117",3732238,No,2019-08-22 00:00:00,"$960,000","$1,399,900",106,39.975654500000005,-105.25793003954315
R0010932,Res,3120,,KITTRELL,CT,,BOULDER,Split-Level,Good,2005,"3,432",0,0,0,Attached,840,"9,667",3736607,No,2019-09-16 00:00:00,"$1,832,000","$2,682,600",106,39.96929145,-105.25167309927537
R0011643,Res,3130,,KITTRELL,CT,,BOULDER,Split-Level,Good,2010,"2,125",316,0,316,Multiple,993,"9,906",3795589,No,2020-07-01 00:00:00,"$1,425,000","$1,964,600",106,39.96942425,-105.25138524439492
R0011333,Res,3175,,KITTRELL,CT,,BOULDER,Ranch,Very Good,2000,"2,365","2,365","1,840",525,Attached,675,"12,807",3951488,No,2022-03-14 00:00:00,"$2,650,000","$2,692,900",106,39.9699997,-105.25068333396852
R0010020,Res,1310,,KNOX,DR,,BOULDER,Ranch,Average,1981,988,988,889,99,Attached,494,"7,880",3933051,No,2021-12-01 00:00:00,"$910,000","$966,500",106,39.976639500000005,-105.2457095387173
R0010735,Res,1330,,KNOX,DR,,BOULDER,2-3 Story,Good,1975,"1,748",0,0,0,Attached,380,"7,390",3872440,No,2021-03-20 00:00:00,"$1,099,000","$1,345,900",106,39.97645945,-105.24570721575309
R0007131,Res,1865,,KOHLER,DR,,BOULDER,Split-Level,Good,1975,"2,870",0,0,0,Attached,480,"17,984",3775592,Yes,2020-03-31 00:00:00,"$1,400,000","$1,830,400",106,39.98686775,-105.27006890374292
R0005558,Res,1945,,KOHLER,DR,,BOULDER,2-3 Story,Very Good,2000,"3,688","1,684","1,684",0,Detached,400,"16,505",3970119,No,2022-06-14 00:00:00,"$3,750,000","$3,733,000",106,39.987437400000005,-105.26886367309623
R0005604,Res,1965,,KOHLER,DR,,BOULDER,2-3 Story,Good,1980,"1,951",948,948,0,Basement,400,"21,909",3895653,No,2021-06-17 00:00:00,"$1,400,000","$1,639,700",106,39.98717430000001,-105.2685809644606
R0006302,Res,1980,,KOHLER,DR,,BOULDER,Bi-Level,Good,1985,"1,751",213,0,213,Attached,228,"17,865",3820513,No,2020-09-30 00:00:00,"$1,350,000","$1,807,800",106,39.98670415,-105.26832794210031
R0004113,Res,2055,,KOHLER,DR,,BOULDER,Bi-Level,Good,1985,"1,996",0,0,0,Attached,312,"19,056",3816691,No,2020-09-18 00:00:00,"$1,285,000","$1,717,400",106,39.9870888,-105.267489
R0000424,Res,2140,,KOHLER,DR,,BOULDER,Bi-Level,Good,1962,"2,532",0,0,0,Attached,588,"49,481",3751215,No,2019-11-20 00:00:00,"$1,118,000","$1,637,100",106,39.98642445,-105.26644575
R0001918,Res,2145,,KOHLER,DR,,BOULDER,2-3 Story,Good,2000,"2,416",0,0,0,Attached,506,"19,712",3816115,No,2020-09-16 00:00:00,"$1,375,000","$1,833,800",106,39.9871641,-105.26649448429676
R0007442,Res,2180,,KOHLER,DR,,BOULDER,Bi-Level,Good,1980,"3,638",70,0,70,Attached,700,"49,135",3871014,No,2021-03-24 00:00:00,"$1,693,000","$2,073,400",106,39.98647225,-105.26593764770944
R0003697,Res,2200,,KOHLER,DR,,BOULDER,Ranch,Good,1961,"1,400","1,680","1,036",644,Attached,644,"58,216",3753721,No,2019-12-02 00:00:00,"$1,165,000","$1,705,900",106,39.9863891,-105.2654105534148
R0003697,Res,2200,,KOHLER,DR,,BOULDER,Ranch,Good,1961,"1,400","1,680","1,036",644,Attached,644,"58,216",3857834,No,2021-02-05 00:00:00,"$1,630,000","$2,026,300",106,39.9863891,-105.2654105534148
R0001112,Res,2505,,KOHLER,DR,,BOULDER,Ranch,Good,1980,"1,729",965,517,448,Attached,588,"26,100",3752593,No,2019-12-02 00:00:00,"$1,260,000","$1,845,000",106,39.98668845,-105.26103910717934
R0004126,Res,2510,,KOHLER,DR,,BOULDER,2-3 Story,Good,2002,"2,967",640,640,0,Attached,804,"15,659",3727419,No,2019-07-29 00:00:00,"$1,400,000","$2,050,000",106,39.986615349999994,-105.26039304524188
R0007932,Res,2580,,KOHLER,DR,,BOULDER,2-3 Story,Very Good,2017,"3,843","1,848","1,410",438,Attached,564,"14,557",3768655,No,2020-02-27 00:00:00,"$2,950,000","$4,246,500",106,39.9871337,-105.2597652084896
R0010683,Res,2855,,LAFAYETTE,DR,,BOULDER,2-3 Story,Very Good,2015,"2,834",740,0,740,Attached,569,"18,892",3918097,No,2021-09-20 00:00:00,"$3,356,200","$3,754,900",106,39.969041399999995,-105.25696533169145
R0010683,Res,2855,,LAFAYETTE,DR,,BOULDER,2-3 Story,Very Good,2015,"2,834",740,0,740,Attached,569,"18,892",3828428,No,2020-10-22 00:00:00,"$1,875,000","$2,473,700",106,39.969041399999995,-105.25696533169145
R0012275,Res,2895,,LAFAYETTE,DR,,BOULDER,2-3 Story,Very Good,2000,"4,041",0,0,0,Attached,453,"19,625",3930384,No,2021-11-19 00:00:00,"$3,183,000","$3,448,800",106,39.96904015,-105.25670269280042
R0012604,Res,3095,,LAFAYETTE,DR,,BOULDER,Split-Level,Excellent,2010,"5,342","1,180","1,180",0,Attached,996,"32,874",3748930,No,2019-11-13 00:00:00,"$4,550,000","$6,662,600",106,39.96926565,-105.2550132604232
R0009490,Res,3190,,LAFAYETTE,DR,,BOULDER,Ranch,Good,1974,"1,272","1,080","1,080",0,Detached,420,"9,729",3936815,No,2021-12-21 00:00:00,"$1,190,200","$1,269,000",106,39.9688062,-105.25397959894556
R0011736,Res,2820,,LAGRANGE,CIR,,BOULDER,Bi-Level,Average,1975,"1,660",128,0,128,Attached,288,"7,008",3963981,No,2022-05-23 00:00:00,"$1,000,000","$1,000,000",106,39.9778513,-105.2581674
R0012113,Res,2840,,LAGRANGE,CIR,,BOULDER,Split-Level,Average,1980,"1,280",0,0,0,Attached,336,"8,717",3896236,No,2021-06-25 00:00:00,"$930,000","$1,089,200",106,39.9778038,-105.2588668
R0012543,Res,2865,,LAGRANGE,CIR,,BOULDER,Split-Level,Average,1985,"1,566",0,0,0,Attached,432,"8,172",3962106,No,2022-05-11 00:00:00,"$1,405,000","$1,405,000",106,39.9771073,-105.2588524
R0010635,Res,2881,,LAGRANGE,CIR,,BOULDER,Bi-Level,Average,1969,"1,977",128,0,128,Attached,288,"7,050",3912987,No,2021-08-31 00:00:00,"$890,000","$1,011,800",106,39.9771068,-105.2581682
R0014091,Res,1170,,LEHIGH,ST,,BOULDER,Bi-Level,Average,1980,"1,810",0,0,0,Attached,288,"7,205",3814079,No,2020-09-03 00:00:00,"$892,500","$1,195,100",106,39.97784605,-105.2598361
R0012828,Res,1460,,LEHIGH,ST,,BOULDER,Ranch,Average,1968,"1,302","1,274",546,728,Attached,440,"7,440",3820174,No,2020-09-25 00:00:00,"$800,000","$1,071,300",106,39.9740015,-105.2597888
R0012984,Res,1540,,LEHIGH,ST,,BOULDER,Ranch,Average,1985,"1,300","1,274","1,274",0,Attached,440,"7,193",3816266,No,2020-09-10 00:00:00,"$840,000","$1,124,200",106,39.9728494,-105.2597818
R0013468,Res,1760,,LEHIGH,ST,,BOULDER,2-3 Story,Good,1985,"2,439",990,990,0,Attached,440,"8,008",3920203,No,2021-10-08 00:00:00,"$1,335,000","$1,469,800",106,39.9702824,-105.2598168157088
R0011207,Res,1780,,LEHIGH,ST,,BOULDER,2-3 Story,Good,1995,"2,260","1,182",630,552,Attached,506,"10,172",3804861,No,2020-07-29 00:00:00,"$1,200,000","$1,655,500",106,39.97008875,-105.25981333380476
R0013984,Res,1840,,LEHIGH,ST,,BOULDER,Split-Level,Good,2005,"2,650",0,0,0,Attached,550,"14,280",3745404,No,2019-10-25 00:00:00,"$1,825,000","$2,672,300",106,39.9685037,-105.2597264
R0010965,Res,1905,,LEHIGH,ST,,BOULDER,Bi-Level,Good,1995,"2,510",0,0,0,Attached,726,"9,694",3872555,No,2021-03-26 00:00:00,"$1,870,000","$2,290,200",106,39.9673089,-105.25918618951977
R0011457,Res,3440,,LONGWOOD,AVE,,BOULDER,Ranch,Good,1990,"1,062","1,032","1,032",0,,0,"9,399",3880953,No,2021-04-22 00:00:00,"$1,500,000","$1,809,900",106,39.968308,-105.2522091769894
R0013127,Res,3585,,LONGWOOD,AVE,,BOULDER,Split-Level,Good,1975,"3,217",400,0,400,Attached,418,"10,540",3919909,No,2021-10-08 00:00:00,"$2,525,000","$2,780,000",106,39.9690622,-105.25097168094705
R0013678,Res,3590,,LONGWOOD,AVE,,BOULDER,Split-Level,Good,1985,"1,822",144,0,144,Attached,264,"8,376",3915700,No,2021-09-16 00:00:00,"$1,336,000","$1,471,700",106,39.96869655,-105.25070592115308
R0011463,Res,3635,,LONGWOOD,AVE,,BOULDER,2-3 Story,Good,1996,"2,973","1,392","1,392",0,Attached,680,"10,053",3916573,No,2021-09-24 00:00:00,"$2,580,000","$2,886,500",106,39.96918515,-105.25036224724602
R0010505,Res,3715,,LONGWOOD,AVE,,BOULDER,2-3 Story,Good,1983,"2,372","1,140",0,"1,140",Attached,483,"10,192",3822535,No,2020-10-07 00:00:00,"$1,427,500","$1,883,300",106,39.9693736,-105.2496141115544
R0010898,Res,3360,,LOYOLA,CT,,BOULDER,Split-Level,Average,2000,"1,952",648,488,160,Attached,528,"12,051",3789947,No,2020-06-08 00:00:00,"$1,030,000","$1,442,300",106,39.9715999,-105.25308999231926
R0009952,Res,4335,,LUDLOW,ST,,BOULDER,2-3 Story,Average,1990,"1,914",0,0,0,Attached,252,"6,902",3824417,No,2020-07-30 00:00:00,"$1,050,000","$1,448,600",106,39.97580995,-105.2452796
R0013061,Res,4365,,LUDLOW,ST,,BOULDER,Ranch,Average,2005,942,850,670,180,Workshop,300,"7,010",3809524,No,2020-08-21 00:00:00,"$985,000","$1,336,400",106,39.9757846,-105.24480023079154
R0014463,Res,4485,,LUDLOW,ST,,BOULDER,Ranch,Average,1995,900,900,900,0,Attached,300,"7,266",3772409,No,2020-03-16 00:00:00,"$822,500","$1,204,400",106,39.9758167,-105.24268469711323
R0011882,Res,1040,,MIAMI,WAY,,BOULDER,2-3 Story,Average,1974,"1,930",837,757,80,Attached,513,"9,659",3822276,No,2020-10-07 00:00:00,"$855,000","$1,128,000",106,39.9800921,-105.25432773489048
R0013256,Res,1055,,MIAMI,WAY,,BOULDER,Split-Level,Average,1969,"1,753",0,0,0,Attached,275,"10,789",3949744,No,2022-03-08 00:00:00,"$1,256,000","$1,276,300",106,39.979996850000006,-105.25354683386752
R0010701,Res,1075,,MIAMI,WAY,,BOULDER,Split-Level,Average,1967,"1,454",144,0,144,Attached,275,"7,599",3752284,No,2019-11-27 00:00:00,"$720,000","$1,054,300",106,39.98034115,-105.25390262318643
R0069719,Res,2463,,POWDERHORN,LN,,BOULDER,2-3 Story,Good,2000,"2,321",804,804,0,Attached,435,"7,505",3796983,No,2020-07-07 00:00:00,"$1,685,000","$2,324,600",106,39.972796900000006,-105.26331576024508
R0069719,Res,2463,,POWDERHORN,LN,,BOULDER,2-3 Story,Good,1985,"2,321",804,804,0,Attached,435,"7,505",3751201,No,2019-11-25 00:00:00,"$1,300,000","$1,903,600",106,39.972796900000006,-105.26331576024508
