Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0013154,Res,65,S,34TH,ST,,BOULDER,Ranch,Average,1987,"1,040",0,0,0,Attached,286,"6,969",3725950,No,2019-07-24 00:00:00,"$625,000","$885,200",104,39.99197585,-105.25330852922949
R0011324,Res,105,S,34TH,ST,,BOULDER,Ranch,Average,1980,"1,326",0,0,0,,0,"7,058",3803898,No,2020-07-31 00:00:00,"$600,000","$838,000",104,39.991589399999995,-105.25331614239197
R0014034,Res,115,S,34TH,ST,,BOULDER,Ranch,Average,1994,"1,352",0,0,0,,0,"6,821",3913676,No,2021-09-07 00:00:00,"$753,000","$889,800",104,39.9914575,-105.25328777472632
R0013138,Res,130,S,34TH,ST,,BOULDER,Ranch,Average,1985,"1,040",0,0,0,Attached,286,"7,276",3725113,No,2019-07-12 00:00:00,"$751,000","$1,063,600",104,39.99106755,-105.2528416474221
R0012235,Res,40,S,35TH,ST,,BOULDER,Split-Level,Average,1985,"1,280",0,0,0,Attached,288,"7,542",3949175,No,2022-03-04 00:00:00,"$900,000","$921,700",104,39.99396255,-105.25095245
R0013788,Res,45,S,35TH,ST,,BOULDER,Split-Level,Average,1967,"1,426",0,0,0,Attached,253,"7,817",3787077,No,2020-05-28 00:00:00,"$675,000","$961,700",104,39.994167700000006,-105.25132993542582
R0011889,Res,180,S,36TH,ST,,BOULDER,Ranch,Average,1994,"1,053",0,0,0,Attached,273,"7,640",3964095,No,2022-04-28 00:00:00,"$1,046,500","$1,046,500",104,39.990155900000005,-105.2509901
R0013348,Res,305,S,36TH,ST,,BOULDER,Ranch,Average,1956,"1,225","1,225",360,865,Carport,308,"7,008",3939154,No,2022-01-05 00:00:00,"$630,000","$676,700",104,39.98885495,-105.25141959012949
R0012164,Res,10,S,38TH,ST,,BOULDER,Ranch,Average,1975,"1,400","1,400",840,560,Carport,312,"7,624",3896486,No,2021-06-10 00:00:00,"$748,000","$936,400",104,39.991748099999995,-105.2459356001282
R0012250,Res,25,S,38TH,ST,,BOULDER,Ranch,Average,1990,"1,404","1,107","1,107",0,,0,"7,081",3819486,No,2020-09-25 00:00:00,"$703,000","$957,000",104,39.99183895,-105.24648205
R0013861,Res,60,S,38TH,ST,,BOULDER,Ranch,Average,1972,"1,107","1,107",195,912,Attached,297,"6,986",3798693,No,2020-07-10 00:00:00,"$643,000","$878,500",104,39.9913358,-105.2464017
R0013526,Res,80,S,38TH,ST,,BOULDER,Split-Level,Average,1990,"1,426",0,0,0,Attached,253,"11,819",3818226,No,2020-09-22 00:00:00,"$720,000","$984,600",104,39.9911313,-105.24660243434066
R0012033,Res,245,S,38TH,ST,,BOULDER,Ranch,Average,1980,"1,152",0,0,0,Attached,220,"7,107",3749504,No,2019-11-13 00:00:00,"$675,000","$968,400",104,39.9893828,-105.24871578952828
R0014654,Res,315,S,38TH,ST,,BOULDER,Ranch,Average,1994,"1,152","1,152",532,620,Attached,220,"7,130",3787638,No,2020-05-29 00:00:00,"$840,000","$1,196,700",104,39.9882088,-105.24924917203792
R0014351,Res,345,S,38TH,ST,,BOULDER,Ranch,Average,1980,"1,152","1,152","1,152",0,Attached,220,"7,245",3929015,No,2021-11-15 00:00:00,"$750,000","$845,000",104,39.9876668,-105.24936801924984
R0013668,Res,235,S,39TH,ST,,BOULDER,Ranch,Average,1988,"1,400",0,0,0,Carport,288,"7,342",3733524,No,2019-08-28 00:00:00,"$676,000","$957,700",104,39.9896001,-105.2475210645442
R0011901,Res,225,S,40TH,ST,,BOULDER,Ranch,Average,2002,"1,940",0,0,0,Attached,364,"7,169",3934125,No,2021-12-07 00:00:00,"$911,000","$995,600",104,39.98962265,-105.24635480750588
R0011358,Res,245,S,40TH,ST,,BOULDER,Ranch,Average,1980,"1,152","1,152",961,191,Attached,220,"7,254",3965976,No,2022-05-31 00:00:00,"$905,000","$905,000",104,39.989334549999995,-105.2466363316619
R0009656,Res,310,S,40TH,ST,,BOULDER,Ranch,Average,2001,"1,372","1,152","1,064",88,,0,"7,258",3970103,No,2022-06-30 00:00:00,"$1,100,000","$1,100,000",104,39.9885982,-105.24663558296795
R0012141,Res,340,S,40TH,ST,,BOULDER,Ranch,Average,1988,"1,152","1,152",891,261,Attached,220,"7,318",3838470,No,2020-11-30 00:00:00,"$704,900","$940,100",104,39.98808055000001,-105.2468961809978
R0012482,Res,365,S,40TH,ST,,BOULDER,Ranch,Average,2001,"1,400","1,400","1,400",0,Carport,240,"6,864",3923085,No,2021-10-15 00:00:00,"$950,000","$1,090,400",104,39.98750845,-105.2475586718603
R0012823,Res,375,S,40TH,ST,,BOULDER,Ranch,Average,2001,"1,400","1,400","1,290",110,Carport,288,"6,938",3863621,No,2021-02-19 00:00:00,"$952,500","$1,240,800",104,39.9873298,-105.24757472209332
R0011414,Res,410,S,40TH,ST,,BOULDER,Ranch,Average,1980,"1,400","1,400","1,260",140,Attached,288,"7,264",3916105,No,2021-09-15 00:00:00,"$825,000","$974,900",104,39.9871665,-105.24708856349072
R0012340,Res,430,S,40TH,ST,,BOULDER,Ranch,Average,2000,"1,400","1,400","1,400",0,Carport,288,"7,108",3765312,No,2020-02-07 00:00:00,"$869,000","$1,258,900",104,39.9867843,-105.24710223114565
